rid,proc1,proc2,proc3,proc4,proc5,w1commitnum,w1commithrs,w1commitoverw,w1freetime,w3tsq8,w1tsq13,w1tsq14,gendermale,genderfemal,pro_sum,gender
166670605,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,2.0,6.0,7.0,2.0,0.0,1.0,5.0,Female
166679616,1.0,1.0,4.0,1.0,1.0,3.0,27.0,2.0,3.0,4.0,5.0,2.0,1.0,0.0,8.0,Male
166681492,1.0,1.0,3.0,1.0,1.0,6.0,40.0,3.0,3.0,7.0,7.0,2.0,0.0,1.0,7.0,Female
166683845,3.0,2.0,4.0,4.0,3.0,3.0,9.0,3.0,3.0,6.0,4.0,4.0,0.0,1.0,16.0,Female
166684615,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,6.0,7.0,5.0,0.0,1.0,7.0,Female
166687285,4.0,5.0,4.0,4.0,4.0,1.0,10.0,2.0,3.0,4.0,5.0,5.0,0.0,1.0,21.0,Female
166687563,1.0,1.0,1.0,1.0,1.0,4.0,15.0,2.0,3.0,2.0,6.0,3.0,0.0,1.0,5.0,Female
166687717,2.0,2.0,4.0,2.0,2.0,6.0,32.0,3.0,3.0,4.0,5.0,4.0,0.0,1.0,12.0,Female
166688276,4.0,5.0,3.0,3.0,5.0,1.0,10.0,2.0,4.0,2.0,4.0,6.0,1.0,0.0,20.0,Male
166688298,4.0,3.0,5.0,3.0,4.0,6.0,17.0,5.0,3.0,7.0,7.0,7.0,0.0,1.0,19.0,Female
166689847,3.0,2.0,2.0,2.0,3.0,7.0,15.0,2.0,3.0,7.0,7.0,4.0,0.0,1.0,12.0,Female
166692811,3.0,1.0,4.0,3.0,4.0,8.0,4.0,3.0,2.0,5.0,7.0,4.0,0.0,1.0,15.0,Female
166694999,3.0,3.0,4.0,3.0,3.0,2.0,38.0,2.0,2.0,5.0,4.0,4.0,1.0,0.0,16.0,Male
166700303,2.0,2.0,3.0,1.0,2.0,5.0,40.0,4.0,2.0,3.0,6.0,2.0,0.0,1.0,10.0,Female
166707449,3.0,4.0,2.0,3.0,4.0,3.0,14.0,3.0,3.0,6.0,4.0,5.0,0.0,1.0,16.0,Female
166708096,1.0,2.0,2.0,2.0,1.0,10.0,80.0,4.0,2.0,5.0,7.0,5.0,0.0,1.0,8.0,Female
166709363,3.0,2.0,3.0,2.0,2.0,3.0,45.0,4.0,2.0,5.0,6.0,5.0,0.0,1.0,12.0,Female
166709806,2.0,3.0,3.0,3.0,2.0,2.0,20.0,3.0,3.0,4.0,5.0,3.0,0.0,1.0,13.0,Female
166709931,2.0,4.0,4.0,4.0,2.0,9.0,25.0,4.0,2.0,5.0,7.0,4.0,0.0,1.0,16.0,Female
166710678,3.0,3.0,3.0,1.0,3.0,4.0,40.0,3.0,3.0,7.0,5.0,6.0,0.0,1.0,13.0,Female
166714414,5.0,4.0,4.0,5.0,1.0,2.0,20.0,3.0,3.0,6.0,7.0,6.0,1.0,0.0,19.0,Male
166714892,2.0,4.0,4.0,2.0,2.0,5.0,40.0,3.0,3.0,5.0,6.0,3.0,0.0,1.0,14.0,Female
166715031,5.0,5.0,5.0,4.0,5.0,3.0,33.0,4.0,2.0,4.0,5.0,4.0,0.0,1.0,24.0,Female
